,Magnesium,Sodium,"Sodium, percent total cations",Potassium,Calcium
332,4.32,6.19,21.0,0.57,12.7
333,52.1,79.3,24.0,2.59,129.0
334,35.9,85.1,31.0,2.84,106.0
335,32.6,83.7,32.0,2.56,96.6
336,24.4,86.8,40.0,2.17,72.7
337,24.2,87.2,40.0,2.23,72.0
338,25.2,86.0,39.0,2.27,75.7
339,21.6,81.7,41.0,2.29,67.8
340,19.5,84.7,45.0,1.9,58.5
341,30.6,89.8,36.0,2.35,85.0
342,23.0,79.9,39.0,2.22,70.7
343,11.3,230.0,82.0,1.4,25.7
344,6.84,145.0,79.0,1.17,22.4
345,12.8,263.0,82.0,1.4,27.2
346,17.5,344.0,83.0,1.65,33.4
347,19.0,377.0,84.0,1.66,32.7
348,22.2,417.0,83.0,2.13,37.5
349,1150.0,9140.0,77.0,239.0,324.0
350,1410.0,10900.0,77.0,311.0,375.0
351,2160.0,15000.0,75.0,53.9,721.0
352,2370.0,10500.0,65.0,33.1,980.0
353,753.0,1440.0,44.0,13.2,363.0
354,17.2,138.0,75.0,6.69,8.96
355,19.7,167.0,73.0,3.14,19.1
356,24.3,203.0,73.0,4.55,23.1
357,17.5,151.0,72.0,2.47,22.0
358,17.8,181.0,73.0,3.91,28.4
359,15.5,170.0,74.0,3.03,24.7
360,28.8,328.0,76.0,4.65,42.4
361,21.0,249.0,72.0,39.1,31.3
362,17.3,312.0,85.0,3.71,16.6
363,10.7,193.0,83.0,3.64,15.4
364,14.2,246.0,84.0,2.45,15.8
365,25.6,309.0,81.0,3.33,18.7
366,31.7,300.0,79.0,3.03,17.3
367,33.0,287.0,78.0,2.45,16.7
368,33.0,156.0,50.0,2.04,78.9
369,65.2,29.1,13.0,1.99,57.4
370,43.8,125.0,41.0,2.63,83.1
371,44.2,92.1,35.0,1.13,72.7
372,17.4,30.0,26.0,1.71,45.0
373,37.9,52.2,21.0,2.28,103.0
374,29.7,48.2,22.0,2.4,103.0
375,13.6,17.3,21.0,1.89,34.2
376,39.0,34.1,18.0,1.72,69.7
377,21.4,38.0,30.0,2.2,41.0
378,34.4,99.4,40.0,2.48,72.2
379,39.6,34.6,18.0,1.7,69.2
380,13.8,18.3,22.0,1.98,32.8
381,27.6,44.4,21.0,2.05,99.1
382,35.0,47.5,21.0,2.0,98.9
383,19.4,35.1,27.0,1.75,50.3
384,37.3,76.6,33.0,1.05,70.8
385,28.0,23.9,18.0,1.58,51.1
386,15.8,17.8,20.0,1.94,35.6
387,24.9,40.4,22.0,2.08,83.7
388,34.5,47.8,22.0,2.18,92.5
389,18.8,34.7,28.0,1.91,46.4
390,34.9,72.6,34.0,1.11,67.2
391,28.3,27.1,19.0,1.51,53.3
392,16.9,20.0,21.0,1.91,38.4
393,29.1,49.4,23.0,2.47,94.1
394,34.7,51.3,23.0,2.22,92.7
395,17.0,39.6,34.0,1.45,38.8
396,34.7,74.0,34.0,1.06,67.7
397,36.9,33.4,19.0,1.55,66.5
398,13.9,18.2,22.0,1.88,33.2
399,29.4,49.2,23.0,2.14,98.0
400,17.0,30.3,27.0,1.64,43.6
401,37.9,81.0,35.0,0.93,68.8
402,40.0,35.0,19.0,1.59,67.7
403,13.4,17.2,21.0,1.84,32.7
404,29.3,49.4,22.0,2.22,100.0
405,39.0,57.6,23.0,2.17,99.1
406,28.7,67.6,38.0,2.04,46.1
407,37.7,84.6,38.0,1.05,57.6
408,45.5,132.0,42.0,2.48,84.1
409,45.8,126.0,40.0,2.46,89.7
410,34.7,110.0,43.0,2.18,66.2
411,37.6,53.4,22.0,2.1,101.0
414,40.0,66.0,30.0,3.4,68.0
415,52.0,79.0,29.0,4.9,78.0
416,24.0,45.0,29.0,2.7,53.0
417,30.0,53.0,29.0,2.5,61.0
418,44.0,77.0,32.0,4.0,69.0
421,43.0,84.0,33.0,4.8,77.0
